URI	label	Description	mixsid	valueType	units	
mixs:16s_recover	16S recovered	Can a 16S gene be recovered from the submitted SAG or MAG?	MIXS:0000065	boolean	NaN	
mixs:16s_recover_software	16S recovery software	Tools used for 16S rRNA gene extraction	MIXS:0000066	"names and versions of software(s), parameters used"	NaN	
mixs:abs_air_humidity	absolute air humidity	Actual mass of water vapor - mh20 - present in the air water vapor mixture	MIXS:0000122	measurement value	kilogram	
mixs:abs_air_humidity	absolute air humidity	Actual mass of water vapor - mh20 - present in the air water vapor mixture	MIXS:0000122	measurement value	"gram per gram, kilogram per kilogram, kilogram, pound"	
mixs:adapters	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters	MIXS:0000048	adapter A and B sequence	NaN	
mixs:add_recov_method	secondary and tertiary recovery methods and start date	"Additional (i.e. Secondary, tertiary, etc.) recovery methods deployed for increase of hydrocarbon recovery from resource and start date for each one of them. If ""other"" is specified, please propose entry in ""additional info"" field"	MIXS:0001009	enumeration;timestamp	NaN	
mixs:additional_info	additional info	Information that doesn't fit anywhere else. Can also be used to propose new entries for fields with controlled vocabulary	MIXS:0000300	text	NaN	MIXS:0000300 | MIXS:0000309
mixs:additional_info	additional info	Information that doesn't fit anywhere else. Can also be used to propose new entries for fields with controlled vocabulary	MIXS:0000309	text	NaN	MIXS:0000309
mixs:address	address	The street name and building number where the sampling occurred.	MIXS:0000218	value	NaN	MIXS:0000218
mixs:adj_room	adjacent rooms	"List of rooms (room number, room name) immediately adjacent to the sampling room"	MIXS:0000219	room name;room number	NaN	MIXS:0000219
mixs:aero_struc	aerospace structure	"Aerospace structures typically consist of thin plates with stiffeners for the external surfaces, bulkheads and frames to support the shape and fasteners such as welds, rivets, screws and bolts to hold the components together"	MIXS:0000773	enumeration	NaN	MIXS:0000773
mixs:agrochem_addition	history/agrochemical additions	"Addition of fertilizers, pesticides, etc. - amount and time of applications"	MIXS:0000639	agrochemical name;agrochemical amount;timestamp	"gram, mole per liter, milligram per liter"	MIXS:0000639
mixs:air_temp	air temperature	temperature of the air at the time of sampling	MIXS:0000124	measurement value	degree Celsius	MIXS:0000124
mixs:air_temp_regm	air temperature regimen	"information about treatment involving an exposure to varying temperatures; should include the temperature, treatment duration, interval and total experimental duration; can include different temperature regimens"	MIXS:0000551	temperature value;treatment interval and duration	degree Celsius	MIXS:0000551 | MIXS:0000551
mixs:air_temp_regm	air temperature regimen	"information about treatment involving an exposure to varying temperatures; should include the temperature, treatment duration, interval and total experimental duration; can include different temperature regimens"	MIXS:0000551	temperature value;treatment duration;interval;experimental duration	degree Celsius	MIXS:0000551
mixs:air_temp_regm	air temperature regimen	"Information about treatment involving an exposure to varying temperatures; should include the temperature, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include different temperature regimens"	MIXS:0000551	temperature value;treatment interval and duration	degree Celsius	MIXS:0000551 | MIXS:0000551
mixs:air_temp_regm	air temperature regimen	"Information about treatment involving an exposure to varying temperatures; should include the temperature, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include different temperature regimens"	MIXS:0000551	temperature value;treatment duration;interval;experimental duration	degree Celsius	
mixs:al_sat	extreme_unusual_properties/Al saturation	Aluminum saturation (esp. For tropical soils)	MIXS:0000607	measurement value	percentage	
mixs:al_sat_meth	extreme_unusual_properties/Al saturation method	Reference or method used in determining Al saturation	MIXS:0000324	"PMID,DOI or URL"	NaN	
mixs:alkalinity	alkalinity	"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"	MIXS:0000522	measurement value	"milliequivalent per liter, milligram per liter"	
mixs:alkalinity	alkalinity	"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"	MIXS:0000522	measurement value	milliequivalent per liter	
mixs:alkalinity	alkalinity	"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"	MIXS:0000487	measurement value	"milliequivalent per liter, milligram per liter"	
mixs:alkalinity	alkalinity	"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"	MIXS:0000487	measurement value	milliequivalent per liter	
mixs:alkalinity	alkalinity	"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"	MIXS:0000594	measurement value	"milliequivalent per liter, milligram per liter"	
mixs:alkalinity	alkalinity	"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"	MIXS:0000594	measurement value	milliequivalent per liter	
mixs:alkalinity	alkalinity	"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"	MIXS:0000468	measurement value	"milliequivalent per liter, milligram per liter"	
mixs:alkalinity	alkalinity	"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"	MIXS:0000468	measurement value	milliequivalent per liter	
mixs:alkalinity	alkalinity	"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"	MIXS:0000421	measurement value	"milliequivalent per liter, milligram per liter"	
mixs:alkalinity	alkalinity	"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"	MIXS:0000421	measurement value	milliequivalent per liter	
mixs:alkalinity	alkalinity	"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"	MIXS:0000655	measurement value	"milliequivalent per liter, milligram per liter"	
mixs:alkalinity	alkalinity	"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"	MIXS:0000655	measurement value	milliequivalent per liter	
mixs:alkalinity	alkalinity	"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"	MIXS:0000676	measurement value	"milliequivalent per liter, milligram per liter"	
mixs:alkalinity	alkalinity	"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"	MIXS:0000676	measurement value	milliequivalent per liter	
mixs:alkalinity_method	alkalinity method	Method used for alkalinity measurement	MIXS:0001096	description of method	NaN	
mixs:alkalinity_method	alkalinity method	Method used for alkalinity measurement	MIXS:0000298	description of method	NaN	
mixs:alkalinity_method	alkalinity method	Method used for alkalinity measurement	MIXS:0000308	description of method	NaN	
mixs:alkyl_diethers	alkyl diethers	concentration of alkyl diethers 	MIXS:0000678	measurement value	"mole per liter, microgram per gram sample"	
mixs:alkyl_diethers	alkyl diethers	concentration of alkyl diethers 	MIXS:0000678	measurement value	mole per liter	
mixs:alkyl_diethers	alkyl diethers	concentration of alkyl diethers 	MIXS:0000586	measurement value	"mole per liter, microgram per gram sample"	
mixs:alkyl_diethers	alkyl diethers	concentration of alkyl diethers 	MIXS:0000586	measurement value	mole per liter	
mixs:alkyl_diethers	alkyl diethers	concentration of alkyl diethers 	MIXS:0000490	measurement value	"mole per liter, microgram per gram sample"	
mixs:alkyl_diethers	alkyl diethers	concentration of alkyl diethers 	MIXS:0000490	measurement value	mole per liter	
mixs:alt	altitude	"Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth?s surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air"	MIXS:0000519	measurement value	meter	
mixs:alt	altitude	"Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth?s surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air"	MIXS:0000094	measurement value	meter	
mixs:alt	altitude	"Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth?s surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air"	MIXS:0000239	measurement value	meter	
mixs:alt	altitude	the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air	MIXS:0000519	measurement value	meter	
mixs:alt	altitude	the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air	MIXS:0000094	measurement value	meter	
mixs:alt	altitude	the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air	MIXS:0000239	measurement value	meter	
mixs:alt_elev	geographic location (altitude/elevation)	Please refer to the definitions of either altitude or elevation in the environmental packages	MIXS:0000093	-	NaN	
