[x]	label	desc	unitlist
quantitykind:AbsorbedDoseRate	Absorbed Dose Rate	"Absorbed Dose Rate" is the absorbed dose of ionizing radiation imparted at a given location per unit of time (second, minute, hour, or day).	http://qudt.org/vocab/unit/GRAY-PER-SEC
quantitykind:Absorptance	Absorptance	Absorptance is the ratio of the radiation absorbed by a surface to that incident upon it. Also known as absorbance.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:AcceptorDensity	Acceptor Density	"Acceptor Density" is the number per volume of acceptor levels.	http://qudt.org/vocab/unit/PER-M3
quantitykind:AcceptorIonizationEnergy	Acceptor Ionization Energy	"Acceptor Ionization Energy" is the ionization energy of an acceptor.	http://qudt.org/vocab/unit/J
quantitykind:AcousticImpedance	Acoustic Impediance	Acoustic impedance at a surface is the complex quotient of the average sound pressure over that surface by the sound volume flow rate through that surface.	http://qudt.org/vocab/unit/PA-SEC-PER-M3
quantitykind:Action	Action	An action is usually an integral over time. But for action pertaining to fields, it may be integrated over spatial variables as well. In some cases, the action is integrated along the path followed by the physical system.  If the action is represented as an integral over time, taken a the path of the system between the initial time and the final time of the development of the system.  The evolution of a physical system between two states is determined by requiring the action be minimized or, more generally, be stationary for small perturbations about the true evolution. This requirement leads to differential equations that describe the true evolution. Conversely, an action principle is a method for reformulating differential equations of motion for a physical system as an equivalent integral equation. Although several variants have been defined (see below), the most commonly used action principle is Hamilton's principle.	http://qudt.org/vocab/unit/J-SEC
quantitykind:ActiveEnergy	Active Energy	"Active Energy" is the electrical energy transformable into some other form of energy.	http://qudt.org/vocab/unit/J
quantitykind:ActivityCoefficient	Activity Coefficient	An "Activity Coefficient" is a factor used in thermodynamics to account for deviations from ideal behaviour in a mixture of chemical substances. In an ideal mixture, the interactions between each pair of chemical species are the same (or more formally, the enthalpy change of solution is zero) and, as a result, properties of the mixtures can be expressed directly in terms of simple concentrations or partial pressures of the substances present e.g. Raoult's law. Deviations from ideality are accommodated by modifying the concentration by an activity coefficient. 	http://qudt.org/vocab/unit/UNITLESS
quantitykind:ActivityConcentration	Activity Concentration	The "Activity Concentration", also known as volume activity, and activity density, is .	http://qudt.org/vocab/unit/BQ-PER-M3
quantitykind:AlphaDisintegrationEnergy	Alpha Disintegration Energy	The "Alpha Disintegration Energy" is the sum of the kinetic energy of the \(\alpha-particle\) produced in the disintegration process and the recoil energy of the product atom in the reference frame in which the emitting nucleus is at rest before its disintegration.	http://qudt.org/vocab/unit/J
