serial,plot_id,species,veg_lifeform_code,veg_structure_class_code,cover_percent
1122,76287_2,Aconitum delphinifolium,forbs,forbs,0.1
1290,76777_3,Aconitum delphinifolium,forbs,forbs,1
1329,76777_2,Aconitum delphinifolium,forbs,forbs,0.1
1487,76777_1,Aconitum delphinifolium,forbs,forbs,0.1
1541,76287_1,Aconitum delphinifolium,forbs,forbs,0.1
1123,76287_2,Anemone narcissiflora,forbs,forbs,0.1
1181,76215_3,Anemone narcissiflora,forbs,forbs,0.1
1124,76287_2,Anemone parviflora,forbs,forbs,0.1
1182,76215_3,Anemone parviflora,forbs,forbs,0.1
1256,76287_3,Anemone parviflora,forbs,forbs,0.1
1293,76777_3,Anemone parviflora,forbs,forbs,0.1
1324,76777_2,Anemone parviflora,forbs,forbs,1
1536,76287_1,Anemone parviflora,forbs,forbs,2
1573,76167,Anemone parviflora,forbs,forbs,2
1183,76215_3,Anthoxanthum arcticum,grasses,grasses,0.1
1125,76287_2,Arctagrostis latifolia,grasses,grasses,0.1
1150,76215_2,Arctagrostis latifolia,grasses,grasses,0.1
1184,76215_3,Arctagrostis latifolia,grasses,grasses,0.1
1257,76287_3,Arctagrostis latifolia,grasses,grasses,0.1
1355,76749_3,Arctagrostis latifolia,grasses,grasses,0.1
1402,76749_5,Arctagrostis latifolia,grasses,grasses,1
1488,76777_1,Arctagrostis latifolia,grasses,grasses,0.1
1542,76287_1,Arctagrostis latifolia,grasses,grasses,0.1
1172,76215_3,Arctous rubra,deciduous shrubs,prostrate shrub,0.1
1243,76287_3,Arctous rubra,deciduous shrubs,prostrate shrub,3
1283,76777_3,Arctous rubra,deciduous shrubs,prostrate shrub,1
1252,76287_3,Artemisia arctica,forbs,forbs,1
1116,76287_2,Artemisia tilesii,forbs,forbs,8
1258,76287_3,Artemisia tilesii,forbs,forbs,0.1
1530,76287_1,Artemisia tilesii,forbs,forbs,15
1288,76777_3,Astragalus alpinus,forbs,forbs,3
1320,76777_2,Astragalus alpinus,forbs,forbs,3
1485,76777_1,Astragalus alpinus,forbs,forbs,1
1126,76287_2,Aster sibiricus,forbs,forbs,0.1
1319,76777_2,Aster sibiricus,forbs,forbs,5
1480,76777_1,Aster sibiricus,forbs,forbs,8
1539,76287_1,Aster sibiricus,forbs,forbs,1
1162,76215_2,Aulacomnium palustre,mosses,mosses,5
1197,76215_3,Aulacomnium palustre,mosses,mosses,3
1227,76215_1,Aulacomnium palustre,mosses,mosses,10
1366,76749_3,Aulacomnium palustre,mosses,mosses,5
1419,76749_5,Aulacomnium palustre,mosses,mosses,5
1433,76160_1,Aulacomnium palustre,mosses,mosses,5
1464,76203_1,Aulacomnium palustre,mosses,mosses,3
1559,76287_1,Aulacomnium palustre,mosses,mosses,2
1230,76215_1,Aulacomnium turgidum,mosses,mosses,3
1562,76287_1,Aulacomnium turgidum,mosses,mosses,0.1
1145,76215_2,Betula nana,deciduous shrubs,low shrub,1
1205,76215_1,Betula nana,deciduous shrubs,low shrub,5
1247,76287_3,Betula nana,deciduous shrubs,low shrub,0.1
1284,76777_3,Betula nana,deciduous shrubs,low shrub,1
1316,76777_2,Betula nana,deciduous shrubs,low shrub,0.1
1348,76749_3,Betula nana,deciduous shrubs,low shrub,25
1375,76749_1,Betula nana,deciduous shrubs,low shrub,3
1394,76749_5,Betula nana,deciduous shrubs,low shrub,10
1436,76168_1,Betula nana,deciduous shrubs,low shrub,5
1445,76208_1,Betula nana,deciduous shrubs,low shrub,30
1457,76203_1,Betula nana,deciduous shrubs,low shrub,5
1527,76287_1,Betula nana,deciduous shrubs,low shrub,0.1
1567,76167,Betula nana,deciduous shrubs,low shrub,5
1575,76161,Betula nana,deciduous shrubs,low shrub,20
1585,76176a_1,Betula nana,deciduous shrubs,low shrub,18
1593,76172_1,Betula nana,deciduous shrubs,low shrub,7
1294,76777_3,Botrychium lunaria,ferns,forbs,0.1
1472,76784_1,Botrychium lunaria,ferns,forbs,0.1
1133,76287_2,Brachythecium sp.,mosses,mosses,5
1200,76215_3,Brachythecium sp.,mosses,mosses,0.1
1389,76749_1,Brachythecium sp.,mosses,mosses,3
1127,76287_2,Bromus pumpellianus,grasses,grasses,0.1
1543,76287_1,Bromus pumpellianus,grasses,grasses,0.1
1113,76287_2,Calamagrostis canadensis,grasses,grasses,20
1148,76215_2,Calamagrostis canadensis,grasses,grasses,1
1179,76215_3,Calamagrostis canadensis,grasses,grasses,2
1211,76215_1,Calamagrostis canadensis,grasses,grasses,3
1251,76287_3,Calamagrostis canadensis,grasses,grasses,3
1289,76777_3,Calamagrostis canadensis,grasses,grasses,2
1321,76777_2,Calamagrostis canadensis,grasses,grasses,3
1354,76749_3,Calamagrostis canadensis,grasses,grasses,1
1378,76749_1,Calamagrostis canadensis,grasses,grasses,3
1400,76749_5,Calamagrostis canadensis,grasses,grasses,3
1438,76168_1,Calamagrostis canadensis,grasses,grasses,3
1448,76208_1,Calamagrostis canadensis,grasses,grasses,8
1459,76203_1,Calamagrostis canadensis,grasses,grasses,10
1471,76784_1,Calamagrostis canadensis,grasses,grasses,2
1481,76777_1,Calamagrostis canadensis,grasses,grasses,3
1515,76305_1,Calamagrostis canadensis,grasses,grasses,5
1531,76287_1,Calamagrostis canadensis,grasses,grasses,15
1568,76167,Calamagrostis canadensis,grasses,grasses,5
1578,76161,Calamagrostis canadensis,grasses,grasses,5
1589,76176a_1,Calamagrostis canadensis,grasses,grasses,3
1134,76287_2,Calliergon giganteum,mosses,mosses,5
1560,76287_1,Calliergon giganteum,mosses,mosses,1
1259,76287_3,Caltha palustris,forbs,forbs,0.1
1231,76215_1,Campylium stellatum,mosses,mosses,3
1147,76215_2,Carex aquatilis,sedges,sedges and rushes,2
1175,76215_3,Carex aquatilis,sedges,sedges and rushes,3
1212,76215_1,Carex aquatilis,sedges,sedges and rushes,2
1352,76749_3,Carex aquatilis,sedges,sedges and rushes,5
1377,76749_1,Carex aquatilis,sedges,sedges and rushes,10
1399,76749_5,Carex aquatilis,sedges,sedges and rushes,4
1429,76160_1,Carex aquatilis,sedges,sedges and rushes,12
1439,76168_1,Carex aquatilis,sedges,sedges and rushes,3
1571,76167,Carex aquatilis,sedges,sedges and rushes,3
1580,76161,Carex aquatilis,sedges,sedges and rushes,3
1590,76176a_1,Carex aquatilis,sedges,sedges and rushes,3
1596,76172_1,Carex aquatilis,sedges,sedges and rushes,3
1176,76215_3,Carex bigelowii,sedges,sedges and rushes,3
1214,76215_1,Carex bigelowii,sedges,sedges and rushes,0.1
1260,76287_3,Carex bigelowii,sedges,sedges and rushes,0.1
1356,76749_3,Cardamine hyperborea,forbs,forbs,0.1
1404,76749_5,Cardamine hyperborea,forbs,forbs,0.1
1261,76287_3,Cardamine pratensis,forbs,forbs,0.1
1405,76749_5,Cardamine pratensis,forbs,forbs,0.1
1330,76777_2,Castilleja sp.,forbs,forbs,0.1
1489,76777_1,Castilleja sp.,forbs,forbs,0.1
1306,76777_3,Cladonia sp.,lichens,lichens,0.1
1343,76777_2,Cladonia sp.,lichens,lichens,0.1
1424,76749_5,Cladonia sp.,lichens,lichens,0.1
1137,76287_2,Climacium dendroides,mosses,mosses,3
1163,76215_2,Climacium dendroides,mosses,mosses,3
1196,76215_3,Climacium dendroides,mosses,mosses,5
1228,76215_1,Climacium dendroides,mosses,mosses,5
1274,76287_3,Climacium dendroides,mosses,mosses,18
1303,76777_3,Climacium dendroides,mosses,mosses,10
1340,76777_2,Climacium dendroides,mosses,mosses,10
1368,76749_3,Climacium dendroides,mosses,mosses,3
1390,76749_1,Climacium dendroides,mosses,mosses,3
1417,76749_5,Climacium dendroides,mosses,mosses,8
1454,76208_1,Climacium dendroides,mosses,mosses,3
